appid,current_players
371180,1
705280,2
1851350,26
1949970,2
1058530,1
3211690,27
1116550,2
2473980,4
1782680,4
3029990,1
1023980,1
2589920,5
850980,2
2657030,10
751820,1
80350,1
3247270,18
319570,1
2173570,1
239700,1
586950,1
3074340,22
428080,2
2692570,2
1859020,3
717310,1
341870,1
435100,1
402260,1
1322300,3
3103930,163
1612810,177
2909680,2
395850,2
3112010,464
2819520,594
2782380,3
1881350,1
2590250,1
3062380,28
1620520,2
383790,4
1477920,1
416080,1
2456080,11
442710,2
395160,1
1034700,1
2321120,1
37420,1
1257200,8
1966100,2
601530,1
3340750,2
2010530,30
385400,11
2447060,10
505730,2
269250,1
3037060,8
987150,1
2936310,178
355680,1
1892370,10
991710,51
2343240,1
46490,2
212050,2
449530,1
323490,1
270950,1
2674290,330
1172980,1
2730270,23
890970,1
72000,2
1278360,1
262450,1
1596540,6
1898210,76
343740,2
2530420,1
112100,1
1194830,1
2937710,7
1658620,15
782570,1
327060,1
2442230,2
1766790,1
934860,1
1867510,1
1933840,1
275570,3
1138410,1
2758490,42
900400,1
464620,1
2872930,4
457590,1
1057720,1
874650,1
3278760,34
1448600,1
923570,1
1363850,1
2502650,20
2130380,1
2983510,6
234940,2
291910,1
1978800,1
1366850,2
1570760,1
1358090,3
464700,1
750290,2
2552310,4
655730,1
2562400,3
2279730,348
2790330,14
1528000,1
513780,1
943140,2
3198850,1639
2996990,30
242940,3
872570,38
347940,3
1426120,1
308270,6
2480200,7
2148940,2
952420,1
375750,2
2313130,31
1967870,1
1791590,5
1321230,1
231040,1
1333920,1
1900930,1
1024480,4
286320,1
2778420,2
2955300,244
111800,1
272620,2
937380,69
1229030,1
665330,1
1969150,1
236790,1
955170,2
2445660,103
1881120,1
1160330,2
398450,1
3002090,36
1483370,2
2485460,166
224860,1
46250,3
215870,1
1780270,2
1546500,1
2207480,4
349320,3
1563700,3
744260,1
2786450,1
3046430,1
2919560,16
253690,1
3343770,6
2019830,1
719200,1
2552850,26
2115850,1
431500,1
2971510,1
2993680,2
340580,3
351140,1
238870,1
284730,1
463170,2
1997780,26
2835750,1
1177970,35
683940,4
1851380,2
2750960,11
620620,9
464150,1
2270750,3
2569510,843
1516820,2
1742450,1
925470,1
750520,5
288880,1
687750,2
3220170,14
2498480,3
2732980,1
703840,1
2613870,1
2170050,11
2196420,2
2885580,1
48950,3
2838510,1
2138570,5
2591910,2
666870,2
255370,1
1399840,1
1148560,1
2295520,26
690140,1
1946140,13
977460,4
786580,2
215790,1
440740,1
2635980,1
1985420,5
1863430,16
2148930,2
617660,1
1156380,1
1839510,2
1843350,1
2647300,2
2402710,245
3090980,2
3119520,26
490820,1
1763740,1
955320,1
1882040,3
1482770,2
546220,1
1144970,1
1016360,1
522040,1
929060,1
1468160,4
2514460,2
896750,1
809730,2
1906220,8
2143340,7
3096270,3
1575710,18
2827560,9
388490,2
512160,1
1304580,2
306700,2
3380760,98
2645580,7
1370410,1
386640,1
1925090,4
2840210,2
227060,2
2639420,34
2918550,1
2464120,1
1005120,1
1569700,17
3285700,217
420100,1
987720,3
2126010,12
1252000,5
2494720,1
2928660,1
402160,1
72400,2
1203360,2
1036700,1
1608040,1
963280,1
787760,1
2422080,1
1045080,1
2209910,1
775580,2
2009860,2
1949220,41
2323080,1
640990,1
963400,1
1477060,1
588180,1
438030,1
771920,1
2118370,1
434510,1
664000,1
231310,1
2434160,1
2512190,5
844920,2
2542430,1
874040,1
2057770,3
965890,1
350700,4
912370,2
761350,1
2716120,21
263320,1
2635750,1
2593450,6
3447410,1
377260,2
606510,1
369030,1
46550,1
1918970,1
1007840,1
3462980,1
3099730,3
2456860,2
1571190,68
496190,1
2739620,17
1864080,4
485860,1
3096620,70
675240,2
579760,1
2419900,2
1916890,3
2201930,3
2165620,7
1534180,1
552160,1
298560,1
262850,1
217120,1
1065520,4
3044550,3
558450,1
1620720,2
454070,3
2675630,9
2360020,1
1135440,4
1300600,1
2184150,1
576430,10
341710,1
344480,1
3126180,8
344860,2
399520,1
1249060,1
2996090,7
2962750,6
2840480,1
211180,1
334030,2
908050,1
399890,2
622870,1
279260,1
2424650,1
1359470,1
600460,3
402890,3
3196540,108
1886830,3
1785980,1
2208530,32
1851330,30
3351670,6
2523250,2
2677640,1
1322650,1
2215910,3
273620,1
2376170,2
295750,1
491470,1
1564110,1
1361010,4
548370,1
621930,1
292060,1
2496460,1
2000150,4
864540,1
2279330,1
2605640,1
1114090,1
2014620,9
289400,1
2387110,1
1162280,2
2885610,1
2960560,3
1477770,1
2917030,84
396030,1
2272050,1
2704930,1
410820,1
1361860,1
415300,1
61600,1
1592360,1
1884990,1
594490,1
2657310,1
1547380,1
449250,1
1737070,2
407780,1
2499420,1
2229830,16
513330,1
1907170,1
750200,1
211900,1
686440,1
2693460,2
915230,2
1621990,1
447800,1
224040,1
230650,1
352780,1
2234020,1
482390,1
2077750,51
1279260,1
2902000,2
708580,1
1293650,1
1188080,1
1988750,1
3116360,6
1365750,1
1674340,4
430020,1
3001970,49
396280,2
352160,1
2373440,20
1184400,1
2757630,7
452710,1
562730,10
764230,1
2491720,6
3298170,2
3110130,17
1058130,1
968760,1
3066060,207
2262970,2
2958700,2
1898610,1
2866710,1
3343590,3
1584980,4
1156730,1
2194810,2
2822380,1
2613610,3
465170,1
401760,1
492290,2
420880,1
1458900,2
792200,24
2627030,3
266030,2
1183500,2
242530,1
302190,4
1591870,1
615400,1
1506810,1
2211390,1
303720,1
1172510,1
857060,1
1600900,1
1142810,1
1022780,1
1427210,3
1458920,2
1961300,1
695100,1
1091320,1
2398490,3
1998330,11
1988940,3
3032950,3
1901490,1
1197220,1
869840,1
733740,1
331970,3
3194070,14
1522930,1
1520760,1
2537010,10
2366060,3
1010270,1
1766160,1
1449510,1
1986310,4
3070500,19
389870,2
2884490,1
2575060,8
568720,1
651470,1
1717510,1
1508530,1
2183600,9
529670,1
1198260,2
2911850,1
1962770,55
2581570,1
1972410,1
881040,3
1301010,2
252050,1
894060,32
3384220,9
2340400,6
3024640,2
2420350,1
1719460,3
1649830,1
3244640,5
253960,1
3111080,6
1976230,1
880220,1
1015610,1
2238180,42
2267870,1
1237730,1
2513440,2
590970,1
3058890,2
3029830,24
2639460,4
3008050,3
1611070,4
255870,1
1750710,1
2134560,2
543390,1
460250,1
2229840,57
570420,1
2610810,1
1492200,1
1189230,1
2351660,4
1928090,1
861400,1
752910,2
2336440,1
271970,4
361690,2
2455180,1
842980,295
2412410,1
409600,1
634410,1
378770,1
1569590,1
658160,2
630030,1
3030580,49
318090,1
1130700,12
439910,1
2357760,1
2240920,1
315260,1
1494110,2
1890520,1
260690,1
1845670,1
3217600,161
882590,1
356880,2
3249100,2
2072660,1
1590570,1
3021540,69
2290490,2
1454540,1
504920,1
410390,1
508290,1
1129250,1
1044340,1
381750,1
3245050,6
2348650,4
2252330,3
2887780,11
1767310,1
485490,1
597970,2
438000,1
1597220,33
1525620,1
2408680,1
2321430,139
1873510,2
1986230,1
1563940,67
828150,1
744050,2
2217730,3
735350,1
1507420,1
312790,1
334210,1
1748660,3
1910130,21
364450,2
1015940,1
2260800,1
1895780,2
444800,1
2176940,1
2902070,2
2838100,11
922710,1
763250,1
2602730,1
753360,1
2120060,1
2055500,2
1005950,7
3224960,1
200550,3
1307870,1
504310,2
3169620,11
755470,2
281200,1
2176900,6
3145350,3
432470,12
278570,1
434430,1
587810,151
851280,1
411480,2
677020,4
2251380,1
2550140,1
3306030,2
1991850,18
1249010,2
1726530,1
1378020,1
2596420,2
1341450,1
2837320,1
1602900,1
3162110,1
1758450,1
2428440,4
1944910,1
355020,19
3375580,1
3251130,7
463020,1
2626970,3
2960320,1
1131740,1
435480,1
1862210,17
292420,1
837460,1
3057390,11
576960,1
317970,1
729460,2
1755880,1
754540,1
286770,1
1457430,2
1975670,1
2560050,4
2009390,17
541920,2
1021800,1
610860,1
2190200,4
3188910,20298
2571880,2
3150720,2
2635670,67
988490,1
200020,10
704020,202
1895300,83
1647420,1
3134550,2
1287800,1
1450250,2
1775270,4
890570,1
2598930,1
1871510,1
2817530,3
2018130,1
38460,1
540190,1
2342030,28
1770550,1
876850,2
749050,1
2321880,2
853200,2
461970,1
209330,1
1198510,1
2366120,64
1142220,1
1224120,1
2184350,2
1020540,1
556280,1
1916850,1
1743650,2
406940,1
437720,1
1524550,2
1280260,2
330180,1
1765540,1
543180,1
2482190,3
2182500,2
1234620,1
436490,1
258880,1
2661260,1
2360030,1
3177070,13
1913870,1
663240,1
2720270,1
448310,1
2190210,82
2359170,1
2808830,8
2867410,2
879250,2
1607980,1
2289560,1
2953440,1
472060,2
2725090,2
2857730,1
2455080,1
383690,1
941650,1
408960,1
1481340,130
1033080,1
736860,1
396060,2
2775910,3
3054490,19
2187660,42
1963510,1
1603410,1
277500,1
3415000,33
2025750,1
497940,1
2673660,1
1745980,1
2684790,2
2540630,82
449170,1
349140,1
891370,1
2885480,1
3478700,9
529890,1
994340,1
2402450,1
3198120,1
1137970,1
1493020,1
314470,1
2202220,1
2217550,22
731920,2
2319160,2
1422630,1
2097030,2
651340,1
387840,1
748480,1
2283460,1
2305480,1
2464090,1
403980,1
765880,1
809000,3
1920540,2
245010,1
2791020,1
2676820,10
497700,1
891170,1
2784980,1
1116780,1
2314650,18
820610,1
453960,1
968550,1
2489560,7
1723790,7
3044560,4
2146570,1
2282020,11
428870,2
2560530,1
1371750,1
2320130,35
372820,1
3322850,11
2143980,1
2953560,9
2120310,1
978470,1
2706370,5
2169220,9
342970,1
1397290,1
368740,1
284100,1
928440,1
602430,2
404580,2
1988100,1
259390,1
1941110,3
3078390,1262
617610,1
3039040,66
1562910,10
2901310,15
1840540,3
1644310,1
291960,1
722670,1
2779460,1
1132490,1
1465710,3
2354570,7
431930,1
890070,1
3364880,18
270570,2
2776900,182
1290350,1
489170,2
1844240,7
789950,1
359440,2
2125160,1
3033810,3
366290,1
1659050,3
2254000,8
388370,1
2455500,2
2921890,1
1783960,1
2495050,108
527190,1
233310,2
1588570,1
267980,2
3184160,4
2411360,4
378480,1
461750,1
2152630,4
473970,1
1020270,3
995070,1
3384440,301
707590,1
470780,1
3330280,75
2756390,1
1174380,1
2736480,1
2063530,3
411820,1
1214450,1
2389010,2
3361770,3
632800,1
1037910,1
643620,1
2404800,4
1987480,10
856890,2
2352640,1
434370,1
2192350,1
2711320,1
396850,1
2182790,4
473670,1
591790,1
982300,30
3214000,18
1462520,1
386600,2
1277500,1
3224910,25
2323810,1
2767480,5
3294950,1
1647440,5
283660,1
1008800,2
1211830,1
753660,81
1261960,6
1465950,1
1840350,2
1586750,1
206690,1
659840,4
1342040,1
1818010,10
593900,1
393610,1
3443610,3
1582850,1
2898250,2
1418430,2
2171560,1
2631880,1
882560,1
1058690,1
480480,2
287720,1
260330,1
2793460,1
2362150,1
1875310,3
299600,1
1537080,1
2398520,3
2259310,12
508300,1
2134030,23
2515030,1
458560,1
2185930,16
240340,1
963220,1
952200,1
1405660,2
2408310,14
1984190,2
891480,2
1495940,5
2820590,1
408920,1
795510,8
464800,3
338960,1
2632800,6
509600,1
765940,3
2887910,9
3222960,84
2158740,1
2761240,2
3224420,3144
2203990,1
2487130,1
1634870,7
1969100,1
2933590,1
1026100,1
1045350,1
1986550,1
2750920,3
1169490,1
371100,1
1514370,1
1486440,3
1612020,31
1037120,1
2228830,1
635390,2
465840,1
2260130,4
1016250,1
2516920,35
1149710,1
2367650,3
366960,1
311910,2
1679010,3
295630,8
1745790,1
1758920,1
3042480,1
322970,1
1548940,1
2624740,1
1425130,2
1342630,13
2333420,1
2957670,3
2261240,2
1994010,1
2367560,1
1611420,1
3034720,2
2422210,1
